rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
53,上海国企改革,2017.05,1.12,52.94,45.51,743000000.0,108,申达股份,10.02,4.83,2026-01-04,00:29:05
54,元宇宙,1952.14,1.09,420.37,369.22,5115000000.0,180,蓝色光标,20.0,11.52,2026-01-04,00:29:05
55,成飞概念,1846.26,1.08,105.08,102.46,263000000.0,43,爱乐达,11.61,31.91,2026-01-04,00:29:05
56,PM2.5,1659.58,1.08,32.82,29.57,325000000.0,36,莱斯信息,5.17,68.08,2026-01-04,00:29:05
57,信创,2175.97,1.07,503.43,484.64,1879000000.0,301,中科江南,20.0,24.72,2026-01-04,00:29:05
58,职业教育,1752.1,1.07,176.63,145.43,3120000000.0,134,蓝色光标,20.0,11.52,2026-01-04,00:29:05
59,车联网(车路协同),1262.41,1.05,580.18,564.07,1611000000.0,292,信维通信,16.98,62.0,2026-01-04,00:29:05
60,安防,5106.67,1.04,293.76,297.04,-328000000.0,172,立方控股,24.93,28.96,2026-01-04,00:29:05
61,超导概念,2292.29,1.03,90.52,102.81,-1229000000.0,30,联创光电,9.99,63.06,2026-01-04,00:29:05
62,鸿蒙概念,2008.01,1.01,360.69,322.0,3869000000.0,260,中科江南,20.0,24.72,2026-01-04,00:29:05
63,数字货币,2443.07,0.98,188.34,176.25,1209000000.0,92,中科江南,20.0,24.72,2026-01-04,00:29:05
64,区块链,1659.51,0.94,505.37,466.16,3921000000.0,262,中科江南,20.0,24.72,2026-01-04,00:29:05
65,低空经济,2251.57,0.93,1176.35,1141.15,3519000000.0,462,久之洋,20.0,80.7,2026-01-04,00:29:05
66,军工,2463.97,0.92,1482.93,1459.51,2341000000.0,595,天铭科技,29.96,25.68,2026-01-04,00:29:05
67,华为鲲鹏,1543.66,0.91,269.63,287.98,-1835000000.0000002,174,星环科技,10.92,108.19,2026-01-04,00:29:05
68,数字水印,1123.9,0.9,39.08,37.52,156000000.0,30,星环科技,10.92,108.19,2026-01-04,00:29:05
